,Proposed,GDT_TS,target,ProQ3D,ProQ3,ProQ2,ProQ2D,VoroMQA,SBROD,Sato-3DCNN
T0920TS220_5,0.7296308875083923,38.47,T0920,0.646979,0.6661050000000001,0.696178,0.666967,0.449597,1.9451735029099997,0.7078667283058167
T0920TS250_3,0.7303751707077026,45.32,T0920,0.6122350000000001,0.651779,0.676029,0.6437510000000001,0.43070699999999995,1.9093119370599998,0.5988643765449524
T0920TS434_1,0.02605132944881916,7.919999999999999,T0920,0.158248,0.0564395,0.07278539999999999,0.133984,0.113952,1.22309048498,0.02911340072751045
T0920TS432_1,0.2085794061422348,16.25,T0920,0.26877199999999996,0.200001,0.27492300000000003,0.296073,0.20770100000000002,1.4220079107499999,0.09705213457345964
T0920TS183_3,0.6289049386978149,31.430000000000003,T0920,0.491929,0.549771,0.584897,0.579486,0.38652800000000004,1.79658307817,0.4889031946659088
T0920TS287_1,0.5745015144348145,44.58,T0920,0.441197,0.41078000000000003,0.508212,0.49762700000000004,0.345089,1.80701352225,0.4438593089580536
T0920TS275_2,0.4928393959999085,34.49,T0920,0.491117,0.460589,0.490433,0.487378,0.358606,1.7716846024200001,0.2967353463172913
T0920TS005_2,0.7783681154251099,43.1,T0920,0.661108,0.754008,0.726224,0.669353,0.45646499999999995,1.84980539003,0.6644023060798645
T0920TS220_2,0.7888784408569336,37.41,T0920,0.666221,0.684793,0.710762,0.661365,0.46921899999999994,2.02203903461,0.7350614070892334
T0920TS452_2,0.4985980093479157,41.16,T0920,0.399347,0.308331,0.369176,0.39564699999999997,0.318968,1.5481850997,0.35602086782455444
T0920TS451_4,0.1945529729127884,20.42,T0920,0.330825,0.30906100000000003,0.30648200000000003,0.322024,0.193232,1.45067236574,0.11927419155836105
T0920TS092_1,0.7269871234893799,50.42,T0920,0.596435,0.612313,0.659896,0.6315470000000001,0.43176899999999996,1.90650587914,0.5706300735473633
T0920TS251_4,0.4988621473312378,41.53,T0920,0.397918,0.361993,0.335719,0.316227,0.317152,1.62324618762,0.3683978319168091
T0920TS357_4,0.41218340396881104,42.31,T0920,0.330422,0.329438,0.189674,0.251311,0.242718,1.5071950007,0.23861342668533325
T0920TS479_3,0.63804692029953,31.39,T0920,0.533277,0.571988,0.5937279999999999,0.560208,0.382914,1.80422066556,0.5263701677322388
T0920TS345_3,0.6649723052978516,44.77,T0920,0.552072,0.507376,0.584511,0.594962,0.412966,1.8524335096200002,0.5339194536209106
T0920TS077_4,0.7284377813339233,47.27,T0920,0.623654,0.5927060000000001,0.642986,0.616532,0.429751,1.90292344634,0.5656718015670776
T0920TS183_4,0.5827440023422241,36.94,T0920,0.44295500000000004,0.509761,0.5555180000000001,0.540824,0.368759,1.7782958102200002,0.4606373310089111
T0920TS287_2,0.5431568026542664,45.93,T0920,0.424951,0.349593,0.423202,0.430861,0.35420799999999997,1.70638724063,0.4178988635540009
T0920TS357_3,0.3872316479682921,41.81,T0920,0.319251,0.335281,0.19078599999999998,0.219968,0.224152,1.4170119773299998,0.20288227498531344
T0920TS077_1,0.7025562524795532,46.06,T0920,0.607105,0.593648,0.642125,0.616744,0.43415699999999996,1.9262518589300002,0.5666211843490601
T0920TS380_3,0.4938511252403259,39.17,T0920,0.384236,0.32719899999999996,0.37822100000000003,0.4015260000000001,0.26176,1.50414115639,0.345400333404541
T0920TS005_3,0.7761813998222351,44.21,T0920,0.6439590000000001,0.741445,0.7098439999999999,0.65605,0.454295,1.83561905942,0.6224585771560669
T0920TS452_3,0.4474532604217529,29.72,T0920,0.371016,0.28888,0.34821199999999997,0.36943200000000004,0.309303,1.5778441576700002,0.3419012725353241
T0920TS258_4,0.30754372477531433,32.64,T0920,0.307892,0.16002,0.25871500000000003,0.327556,0.212022,1.51913078069,0.16273744404315948
T0920TS444_3,0.6655539870262146,38.61,T0920,0.618111,0.655475,0.679742,0.64683,0.420462,1.8987256666900003,0.5478654503822327
T0920TS434_2,0.035623401403427124,8.1,T0920,0.160841,0.0552789,0.0633118,0.140398,0.12268499999999999,1.22819071091,0.031517062336206436
T0920TS005_5,0.7668179869651794,44.58,T0920,0.671801,0.7456229999999999,0.69787,0.657887,0.4652979999999999,1.83989999846,0.6799547672271729
T0920TS455_4,0.0011553672375157475,4.82,T0920,0.0686497,-0.07299119999999999,0.012777799999999999,0.10323399999999999,0.137248,1.16466535722,0.01126907765865326
T0920TS313_2,0.6810311675071716,42.18,T0920,0.620691,0.6357729999999999,0.590167,0.583929,0.352024,1.8126938584599999,0.4575063288211823
T0920TS313_3,0.6888613700866699,41.99,T0920,0.632541,0.648688,0.6064069999999999,0.601865,0.359887,1.8346795303099999,0.4627754390239716
T0920TS250_5,0.7221866846084595,45.97,T0920,0.624001,0.6396229999999999,0.674618,0.645041,0.426519,1.91007006292,0.5911151766777039
T0920TS357_1,0.3920221328735352,42.08,T0920,0.360852,0.36344099999999996,0.24252600000000002,0.257348,0.222637,1.46734512437,0.21946130692958832
T0920TS236_3,0.5880360007286072,44.68,T0920,0.464862,0.380444,0.497392,0.48740900000000004,0.350235,1.7379250603799998,0.3638674318790436
T0920TS251_5,0.5026764869689941,41.48,T0920,0.391418,0.367639,0.36213,0.335206,0.324334,1.6432969845200005,0.3658306002616882
T0920TS236_5,0.6234840750694275,45.97,T0920,0.504592,0.4950600000000001,0.565603,0.5463680000000001,0.390368,1.82961857771,0.4636661410331726
T0920TS077_2,0.730979323387146,46.25,T0920,0.6241329999999999,0.599842,0.650887,0.627579,0.43820299999999995,1.9169943961000002,0.5760056972503662
T0920TS183_2,0.6756134033203125,32.82,T0920,0.531613,0.579051,0.627942,0.601417,0.409233,1.85068766211,0.5484700798988342
T0920TS479_2,0.6602856516838074,32.73,T0920,0.468894,0.5159130000000001,0.581603,0.550291,0.37709299999999996,1.7836698701,0.5115208029747009
T0920TS026_2,0.460347980260849,40.28,T0920,0.338217,0.261375,0.32506599999999997,0.35029499999999997,0.25346399999999997,1.5199327341799995,0.3029327392578125
T0920TS345_2,0.645893931388855,42.36,T0920,0.538596,0.552823,0.607924,0.5792619999999999,0.41019799999999995,1.8788504798900003,0.4651001989841461
T0920TS287_3,0.5337701439857483,45.14,T0920,0.430066,0.364073,0.402251,0.402852,0.344585,1.7155232024,0.4483695328235626
T0920TS425_2,0.7216776013374329,46.11,T0920,0.605795,0.580216,0.637138,0.614668,0.442292,1.8925474273099998,0.5850863456726074
T0920TS077_3,0.7264203429222107,47.45,T0920,0.625088,0.620903,0.6691060000000001,0.639401,0.432997,1.91194409634,0.5635609626770021
T0920TS425_5,0.7242708206176758,46.85,T0920,0.597694,0.600884,0.6609229999999999,0.626474,0.43812399999999996,1.9194732398199998,0.5727299451828003
T0920TS455_5,0.0019699030090123415,4.26,T0920,0.0754107,-0.072874,0.0355614,0.119084,0.127924,1.1545645507,0.01817191205918789
T0920TS005_1,0.7616795301437378,42.36,T0920,0.6824520000000001,0.761274,0.741351,0.683817,0.465591,1.8286090086900002,0.6418092250823975
T0920TS180_5,0.06503526121377945,7.780000000000001,T0920,0.21760100000000002,0.147701,0.215567,0.228003,0.14974,1.29091192626,0.04841480031609535
T0920TS251_1,0.4983625710010529,41.06,T0920,0.380214,0.350097,0.348389,0.324764,0.31459699999999996,1.5992318296999999,0.3920379877090454
T0920TS251_3,0.37341561913490295,32.73,T0920,0.339437,0.299537,0.319033,0.321314,0.29602,1.53565091495,0.2948493957519531
T0920TS345_1,0.6708250641822815,44.68,T0920,0.576983,0.5699569999999999,0.615957,0.600042,0.407233,1.8766676670900002,0.5106074810028076
T0920TS464_4,0.5170272588729858,39.44,T0920,0.328239,0.29020799999999997,0.33763000000000004,0.370448,0.312204,1.60546573427,0.3464016914367676
T0920TS464_1,0.5050486326217651,38.61,T0920,0.367996,0.30194499999999996,0.33336,0.341889,0.315945,1.63535929194,0.35207512974739075
T0920TS380_2,0.460347980260849,40.28,T0920,0.338217,0.261375,0.32506599999999997,0.35029499999999997,0.25346399999999997,1.5199327341799995,0.3029327392578125
T0920TS258_2,0.28275156021118164,31.430000000000003,T0920,0.301543,0.175361,0.264244,0.31859899999999997,0.20684,1.47799365365,0.13413558900356293
T0920TS455_2,0.001390330377034843,5.5100000000000025,T0920,0.0694952,-0.0660261,0.00525676,0.106206,0.134293,1.1514161460799999,0.010101109743118286
T0920TS380_5,0.3805046379566193,27.96,T0920,0.33784000000000003,0.259805,0.26019200000000003,0.311564,0.237657,1.50862989217,0.21387872099876404
T0920TS407_4,0.5152913928031921,40.6,T0920,0.48823,0.393048,0.49421499999999996,0.483842,0.30488899999999997,1.65835766068,0.31553974747657776
T0920TS258_5,0.2786749303340912,31.2,T0920,0.29082800000000003,0.171034,0.265276,0.320854,0.21333000000000002,1.49404706016,0.13132527470588684
T0920TS407_1,0.5600073337554932,42.73,T0920,0.479955,0.443197,0.521429,0.511158,0.34189899999999995,1.75988919482,0.4134404063224793
T0920TS183_5,0.6430443525314331,31.620000000000005,T0920,0.543574,0.594212,0.609153,0.590187,0.377656,1.7683464838,0.5487192869186401
T0920TS452_5,0.4857424795627594,41.39,T0920,0.402424,0.31112199999999995,0.403764,0.44284300000000004,0.302289,1.54690943342,0.3605533242225647
T0920TS349_1,0.7242988348007202,42.87000000000001,T0920,0.560012,0.475054,0.5508109999999999,0.563535,0.319326,1.8566916348400002,0.444526344537735
T0920TS236_4,0.5224232673645021,44.35,T0920,0.378813,0.332119,0.42162700000000003,0.42511099999999996,0.340884,1.7250402886200005,0.4128800928592682
T0920TS321_5,0.011314415372908115,6.94,T0920,0.206895,0.09239539999999999,0.102269,0.195405,0.124146,1.36499183308,0.0228769201785326
T0920TS313_4,0.6741386651992798,42.18,T0920,0.617926,0.6262409999999999,0.5830390000000001,0.581735,0.34938,1.8066977922099998,0.4525625705718994
T0920TS357_2,0.40484189987182617,41.71,T0920,0.325906,0.320957,0.154378,0.21016300000000002,0.22042199999999998,1.4464964950299999,0.210088849067688
T0920TS479_5,0.6700268983840942,31.9,T0920,0.481367,0.5826520000000001,0.600047,0.5860609999999999,0.396917,1.8085131487000001,0.5412060618400574
T0920TS313_1,0.6745444536209106,42.08,T0920,0.62336,0.633216,0.595535,0.5967819999999999,0.348709,1.8248498953499999,0.4448873102664948
T0920TS287_5,0.5998185873031616,44.72,T0920,0.477415,0.473841,0.5645479999999999,0.5449890000000001,0.4073,1.87353070086,0.473237693309784
T0920TS464_5,0.01623912341892719,4.77,T0920,0.10206599999999999,-0.10529100000000001,-0.122404,0.0986248,0.06518840000000001,1.05588188499,0.025273766368627548
T0920TS380_4,0.4793056547641754,39.17,T0920,0.35513,0.27626100000000003,0.296057,0.343642,0.257904,1.5435610470299999,0.32803624868392944
T0920TS382_4,0.6244928240776062,39.63,T0920,0.520432,0.506818,0.569231,0.5287609999999999,0.390754,1.86103000657,0.4744532406330109
T0920TS382_5,0.650526225566864,40.23,T0920,0.521111,0.505777,0.599955,0.586787,0.383522,1.8476156734599998,0.4589619040489197
T0920TS405_4,0.5072627067565918,41.44,T0920,0.39032,0.37640300000000004,0.346177,0.31811100000000003,0.327731,1.6201648518399998,0.36571621894836426
T0920TS321_1,0.01978178694844246,6.16,T0920,0.189639,0.0827373,0.10429100000000001,0.20364300000000002,0.116783,1.3569247417899999,0.03227565437555313
T0920TS220_1,0.7893574833869934,36.99,T0920,0.659365,0.6839430000000001,0.6892199999999999,0.656871,0.464423,1.9979469509,0.7399425506591797
